score,parameters
0.5471095155834191,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
0.5843833877121899,"{'min_samples_leaf': 2, 'min_samples_split': 15}"
0.6033881286261781,"{'min_samples_leaf': 2, 'min_samples_split': 30}"
0.58007619040634,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
0.5996297558572332,"{'min_samples_leaf': 4, 'min_samples_split': 15}"
0.6113369852632154,"{'min_samples_leaf': 4, 'min_samples_split': 30}"
0.5993232517683814,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
0.6020696316292232,"{'min_samples_leaf': 6, 'min_samples_split': 15}"
0.6131256449988224,"{'min_samples_leaf': 6, 'min_samples_split': 30}"
0.6110521638885128,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
0.6108920524806628,"{'min_samples_leaf': 8, 'min_samples_split': 15}"
0.6191599573721744,"{'min_samples_leaf': 8, 'min_samples_split': 30}"
